Code,Name,Symptoms,Treatments
1,Panic disorder,"dizziness,fear_of_losing_control,palpitations,shortness_of_breath,sweating,trembling","Antidepressant medications, Cognitive Behavioral Therapy, Relaxation Techniques"
2,Vocal cord polyp,"hoarseness,vocal_changes,vocal_fatigue","Voice Rest, Speech Therapy, Surgical Removal"
3,Turner syndrome,"gonadal_dysgenesis,lymphedema,short_stature,webbed_neck","Growth hormone therapy, Estrogen replacement therapy, Cardiac and renal evaluations"
4,Cryptorchidism,"abnormal_positioning_of_the_testicle(s)_(higher_in_the_groin_area),absence_or_undescended_testicle(s),empty_scrotum,inguinal_hernia,smaller_or_underdeveloped_testicle(s)","Observation and monitoring (in cases of mild or transient cryptorchidism), hormone therapy (to stimulate testicular descent), surgical intervention (orchiopexy) to reposition the testicle(s) into the scrotum, if necessary, performed around the age of 6 to 12 months, open or laparoscopic surgery (in cases of high or persistent cryptorchidism), testicular prostheses (in cases of absent or non-functional testicles), regular follow-up visits with a urologist or pediatric surgeon"
5,Ethylene glycol poisoning-1,"abdominal_pain,frequent_urination,general_malaise,increased_thirst,nausea,vomiting,weakness","Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
6,Ethylene glycol poisoning-2,"apid_breathing,confusion,dizziness,headache,metabolic_acidosis,rapid_heart_rate,seizures","Blood tests, Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
7,Ethylene glycol poisoning-3,"and_signs_of_fluid_overload,decreased_urine_output,severe_kidney_damage,swelling_in_the_legs_and_ankles","Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis"
8,Atrophic vaginitis,"frequent_urination,painful_intercourse,urinary_tract_infections,vaginal_burning,vaginal_dryness","Vaginal moisturizers, Vaginal estrogen therapy, Lifestyle modifications"
9,Fracture,"bruising,deformity,difficulty_moving,loss_of_function,pain,swelling","Immobilization, Surgery, Rehabilitation"
10,Cellulitis,"lymph_node_enlargement,pain,redness,skin_changes,swelling,tenderness","Antibiotics, Warm compresses, immobilization, rest, Pain management"
11,Eye alignment disorder,"double_vision,eye_fatigue,head_tilting,poor_depth_perception","Glasses, Patching therapy, Vision therapy, Botox injections, Surgical intervention"
12,Headache after lumbar puncture,throbbing_headache,"Epidural blood patch, Conservative measures"
13,Pyloric stenosis,"dehydration,fussiness,palpable_mass,persistent_hunger,visible_peristalsis,weight_loss","Ultrasound, Blood tests, Pyloromyotomy"
14,Adenoid cystic carcinoma,"facial_numbness,lump,swelling,tingling","Surgery, Radiation therapy"
15,Pleomorphic adenoma,"facial_changes,painless_lump_or_swelling",Surgical excision
16,Warthin tumor,"facial_changes,painless_lump_or_swelling",Surgical excision
